customer_transactions,ten_id,account_no,transaction_type,description,amount,date
TXN-2020-03-251,1,256778855141,DEPOSIT,Deposit,30000,03/04/2020
TXN-2020-03-251,1,256778855141,DEPOSIT,Deposit,20000,02/05/2020
TXN-2020-03-251,1,256778855141,DEPOSIT,Deposit,10000,12/05/2020
TXN-2020-03-251,1,256778855141,WITHDRAW,Withdraw,5000,14/06/2020
TXN-2020-03-251,1,256778855141,WITHDRAW,Withdraw,50000,15/07/2020
TXN-2020-03-251,1,256778855141,DEPOSIT,Deposit,5000,21/07/2020
TXN-2020-03-251,1,256778855141,DEPOSIT,Deposit,20000,03/08/2020
TXN-2020-03-251,1,256778855141,DEPOSIT,Deposit,33000,02/09/2020
TXN-2020-03-251,1,256778855141,WITHDRAW,Withdraw,40000,12/09/2020
TXN-2020-03-251,1,256778855141,DEPOSIT,Deposit,20000,14/09/2020
TXN-2020-03-251,1,256778855141,DEPOSIT,Deposit,20000,15/10/2020
TXN-2020-03-251,1,256778855141,DEPOSIT,Deposit,22000,21/11/2020
TXN-2020-03-251,1,256778855411,DEPOSIT,Deposit,30000,03/04/2020
TXN-2020-03-251,1,256778855411,DEPOSIT,Deposit,20000,02/05/2020
TXN-2020-03-251,1,256778855411,DEPOSIT,Deposit,10000,12/05/2020
TXN-2020-03-251,1,256778855411,WITHDRAW,Withdraw,5000,14/06/2020
TXN-2020-03-251,1,256778855411,WITHDRAW,Withdraw,50000,15/07/2020
TXN-2020-03-251,1,256778855411,DEPOSIT,Deposit,5000,21/07/2020
TXN-2020-03-251,1,256778855411,DEPOSIT,Deposit,20000,03/08/2020
TXN-2020-03-251,1,256778855411,DEPOSIT,Deposit,33000,02/09/2020
TXN-2020-03-251,1,256778855411,WITHDRAW,Withdraw,40000,12/09/2020
TXN-2020-03-251,1,256778855411,DEPOSIT,Deposit,20000,14/09/2020
TXN-2020-03-251,1,256778855411,DEPOSIT,Deposit,20000,15/10/2020
TXN-2020-03-251,1,256778855411,DEPOSIT,Deposit,22000,21/11/2020
TXN-2020-03-251,1,256778855421,DEPOSIT,Deposit,30000,03/04/2020
TXN-2020-03-251,1,256778855421,DEPOSIT,Deposit,20000,02/05/2020
TXN-2020-03-251,1,256778855421,DEPOSIT,Deposit,10000,12/05/2020
TXN-2020-03-251,1,256778855421,WITHDRAW,Withdraw,5000,14/06/2020
TXN-2020-03-251,1,256778855421,WITHDRAW,Withdraw,50000,15/07/2020
TXN-2020-03-251,1,256778855421,DEPOSIT,Deposit,5000,21/07/2020
TXN-2020-03-251,1,256778855421,DEPOSIT,Deposit,20000,03/08/2020
TXN-2020-03-251,1,256778855421,DEPOSIT,Deposit,33000,02/09/2020
TXN-2020-03-251,1,256778855421,WITHDRAW,Withdraw,40000,12/09/2020
TXN-2020-03-251,1,256778855421,DEPOSIT,Deposit,20000,14/09/2020
TXN-2020-03-251,1,256778855421,DEPOSIT,Deposit,20000,15/10/2020
TXN-2020-03-251,1,256778855421,DEPOSIT,Deposit,22000,21/11/2020
TXN-2020-03-251,1,256778855431,DEPOSIT,Deposit,30000,03/04/2020
TXN-2020-03-251,1,256778855431,DEPOSIT,Deposit,20000,02/05/2020
TXN-2020-03-251,1,256778855431,DEPOSIT,Deposit,10000,12/05/2020
TXN-2020-03-251,1,256778855431,WITHDRAW,Withdraw,5000,14/06/2020
TXN-2020-03-251,1,256778855431,WITHDRAW,Withdraw,50000,15/07/2020
TXN-2020-03-251,1,256778855431,DEPOSIT,Deposit,5000,21/07/2020
TXN-2020-03-251,1,256778855431,DEPOSIT,Deposit,20000,03/08/2020
TXN-2020-03-251,1,256778855431,DEPOSIT,Deposit,33000,02/09/2020
TXN-2020-03-251,1,256778855431,WITHDRAW,Withdraw,40000,12/09/2020
TXN-2020-03-251,1,256778855431,DEPOSIT,Deposit,20000,14/09/2020
TXN-2020-03-251,1,256778855431,DEPOSIT,Deposit,20000,15/10/2020
TXN-2020-03-251,1,256778855431,DEPOSIT,Deposit,22000,21/11/2020
